user_id,timestamp,pageview_URL
0,0,accessories::unknown-product
0,1,electronics::speaker
0,2,accessories::unknown-product
1,0,accessories::alloy-notepad
2,0,electronics::power-bank
2,1,accessories::unknown-product
2,2,electronics::bluetooth-headphones
3,0,accessories::alloy-notepad
4,0,accessories::alloy-notepad
5,0,drinkware::unknown
6,0,accessories::alloy-notepad
7,0,accessories::alloy-notepad
8,0,accessories::alloy-notepad
9,0,accessories::alloy-notepad
10,0,accessories::alloy-notepad
11,0,accessories::unknown-product
11,1,electronics::unknown
11,2,accessories::unknown-product
12,0,accessories::alloy-notepad
13,0,accessories::alloy-notepad
14,0,accessories::alloy-notepad
15,0,accessories::unknown-product
15,1,electronics::unknown
15,2,accessories::unknown-product
16,0,accessories::alloy-notepad
17,0,accessories::alloy-notepad
18,0,accessories::alloy-notepad
19,0,accessories::alloy-notepad
20,0,accessories::unknown-product
20,1,electronics::speaker
20,2,accessories::unknown-product
21,0,accessories::alloy-notepad
22,0,office::office-other
22,1,clothing::vintage-tank
22,2,clothing::raglan-2xl
23,0,clothing::baseball-raglan
23,1,clothing::vintage-tank
23,2,office::notebook
24,0,clothing::quickview
24,1,office::office-other
24,2,drinkware::bottle
25,0,drinkware::unknown
25,1,bags::unknown
25,2,drinkware::unknown
26,0,accessories::unknown-product
26,1,electronics::speaker
26,2,accessories::unknown-product
27,0,accessories::unknown-product
27,1,electronics::speaker
27,2,accessories::unknown-product
28,0,accessories::unknown-product
28,1,electronics::unknown
28,2,accessories::unknown-product
29,0,accessories::unknown-product
29,1,drinkware::unknown
29,2,accessories::unknown-product
30,0,accessories::alloy-notepad
31,0,accessories::unknown-product
31,1,electronics::unknown
31,2,accessories::unknown-product
32,0,accessories::alloy-notepad
33,0,accessories::unknown-product
33,1,drinkware::quickview
33,2,accessories::unknown-product
34,0,accessories::unknown-product
34,1,electronics::speaker
34,2,accessories::unknown-product
35,0,accessories::unknown-product
35,1,electronics::speaker
35,2,accessories::unknown-product
36,0,accessories::unknown-product
36,1,electronics::speaker
36,2,accessories::unknown-product
37,0,accessories::alloy-notepad
38,0,accessories::unknown-product
38,1,electronics::speaker
38,2,accessories::unknown-product
39,0,accessories::unknown-product
39,1,electronics::unknown
39,2,accessories::unknown-product
40,0,accessories::alloy-notepad
41,0,electronics::pad
41,1,accessories::unknown-product
41,2,electronics::pad
42,0,electronics::zipper-case
42,1,clothing::tshirt
42,2,office::writing-instrumentsfutmondo
43,0,accessories::alloy-notepad
44,0,electronics::zipper-case
44,1,office::writing-instrumentsfutmondo
44,2,clothing::tee
45,0,accessories::alloy-notepad
46,0,kids::infant
46,1,accessories::unknown-product
47,0,accessories::alloy-notepad
48,0,accessories::alloy-notepad
49,0,accessories::alloy-notepad
50,0,accessories::alloy-notepad
51,0,accessories::alloy-notepad
52,0,clothing::unknown
52,1,bags::rucksack
52,2,clothing::vintage-henley
53,0,office::doodle-decal
53,1,clothing::back-tank
53,2,clothing::raglan-ocean
54,0,accessories::alloy-notepad
55,0,accessories::alloy-notepad
56,0,electronics::power-bank
56,1,accessories::unknown-product
57,0,accessories::alloy-notepad
58,0,accessories::unknown-product
58,1,electronics::audio
58,2,accessories::unknown-product
59,0,bags::tote
59,1,clothing::vintage-henley
59,2,office::journal
60,0,accessories::alloy-notepad
61,0,accessories::alloy-notepad
62,0,kids::infant
62,1,accessories::unknown-product
63,0,kids::kids-youth
63,1,bags::unknown
63,2,bags::organizer-cubes
64,0,accessories::alloy-notepad
65,0,accessories::unknown-product
65,1,electronics::bluetooth-headphones
66,0,accessories::alloy-notepad
67,0,accessories::unknown-product
67,1,electronics::unknown
68,0,accessories::unknown-product
68,1,electronics::power
68,2,accessories::unknown-product
69,0,accessories::alloy-notepad
70,0,accessories::alloy-notepad
71,0,accessories::unknown-product
71,1,electronics::unknown
71,2,accessories::unknown-product
72,0,accessories::alloy-notepad
73,0,accessories::unknown
73,1,drinkware::unknown
73,2,accessories::unknown
74,0,electronics::charger
74,1,electronics::power
74,2,electronics::charger
75,0,accessories::unknown-product
75,1,electronics::speaker
75,2,accessories::unknown-product
76,0,accessories::unknown-product
76,1,electronics::unknown
76,2,accessories::unknown-product
77,0,accessories::alloy-notepad
78,0,accessories::unknown-product
78,1,electronics::pad
78,2,electronics::power-bank
79,0,electronics::wireless-earbud
79,1,drinkware::mugs
79,2,bags::backpack
79,3,clothing::baseball-raglan
80,0,office::journal
80,1,office::writing-instrumentsfutmondo
80,2,office::journal
80,3,kids::infant
81,0,accessories::unknown-product
81,1,electronics::unknown
81,2,accessories::unknown-product
82,0,accessories::unknown-product
82,1,electronics::unknown
82,2,accessories::unknown-product
83,0,accessories::unknown-product
83,1,office::doodle-decal
84,0,accessories::unknown-product
84,1,drinkware::quickview
84,2,drinkware::mugs
84,3,accessories::unknown-product
85,0,accessories::unknown-product
85,1,electronics::speaker
85,2,accessories::unknown-product
86,0,accessories::unknown-product
86,1,electronics::speaker
86,2,accessories::unknown-product
87,0,accessories::unknown-product
87,1,electronics::unknown
87,2,accessories::unknown-product
88,0,accessories::unknown-product
88,1,electronics::unknown
88,2,accessories::unknown-product
89,0,kids::infant
89,1,kids::unknown
89,2,office::pencil
89,3,office::custom-decals
90,0,clothing::weatherblock-shell
90,1,office::unknown
90,2,electronics::pad
91,0,accessories::unknown-product
91,1,electronics::unknown
91,2,accessories::unknown-product
92,0,accessories::alloy-notepad
93,0,clothing::baseball-raglan
93,1,electronics::zipper-case
93,2,office::notebooks-journals
93,3,clothing::polo
94,0,accessories::unknown-product
94,1,electronics::speaker
94,2,accessories::unknown-product
95,0,accessories::alloy-notepad
96,0,clothing::back-tank
96,1,clothing::cap-heather
96,2,clothing::wear
